Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
41072,Text,2012-10-16,"Leonora Christina Ulfeldt's ""Jammers-minde"". En egenhændig skildring af hendes fangenskab i Blaataarn i aarene 1663-1685",da,"Ulfeldt, Leonora Christina, grevinde, 1621-1698; Smith, S. Birket (Sophus Birket), 1838-1919 [Editor]","Ulfeldt, Leonora Christina, grevinde, 1621-1698",DL,Browsing: Biographies; Browsing: History - European; Browsing: History - General
41073,Text,2012-10-16,"Insula Sanctorum et Doctorum; Or, Ireland's Ancient Schools and Scholars",en,"Healy, John, 1841-1918",Education -- Ireland -- History,LA,Browsing: Teaching & Education
41074,Text,2012-10-16,"Ruins and Old Trees, Associated with Memorable Events in English History",en,"Roberts, Mary, 1788-1864; Folkard, W. A. (William A.) [Illustrator]; Gilbert, John, 1817-1897 [Illustrator]",England -- Description and travel; England -- Antiquities; Trees -- England,DA,Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Travel & Geography
41075,Text,2012-10-16,The Curiosities and Law of Wills,en,"Proffatt, John, 1845-1879",Wills; Wills -- United States,KF,Browsing: History - American; Browsing: Law & Criminology
41076,Text,2012-10-16,Poems (1686),en,"Killigrew, Anne, 1660-1685; Morton, Richard Everett, 1930- [Contributor]","English poetry -- Early modern, 1500-1700",PR,Browsing: Literature; Browsing: Poetry
41077,Text,2012-10-16,May Carols,en,"De Vere, Aubrey, 1814-1902","English poetry -- Irish authors; Mary, Blessed Virgin, Saint -- Poetry",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry
41078,Text,2012-10-16,The Hunchback of Westminster,en,"Le Queux, William, 1864-1927",Detective and mystery stories; London (England) -- Fiction; Adventure stories,PR,Browsing: Culture/Civilization/Society; Browsing: Crime/Mystery; Browsing: Fiction
41079,Text,2012-10-16,Cours familier de Littérature - Volume 21,fr,"Lamartine, Alphonse de, 1790-1869",Literature -- History and criticism; French literature -- History and criticism; France -- Politics and government -- 1789-1900,PN,France; FR Littérature; Browsing: History - General; Browsing: Literature; Browsing: Politics
41080,Text,2012-10-16,Cours familier de Littérature - Volume 22,fr,"Lamartine, Alphonse de, 1790-1869",Literature -- History and criticism; French literature -- History and criticism; France -- Politics and government -- 1789-1900,PN,France; FR Littérature; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Literature
41081,Text,2012-10-16,"The Paston Letters, A.D. 1422-1509. Volume 4 (of 6)
New Complete Library Edition",en,"Gairdner, James, 1828-1912 [Editor]","England -- Social life and customs -- 1066-1485 -- Sources; English letters; Paston family -- Correspondence; Social history -- Medieval, 500-1500 -- Sources; Letter writing -- History -- To 1500 -- Sources; Great Britain -- History -- Lancaster and York, 1399-1485 -- Sources; Great Britain -- History -- Henry VII, 1485-1509 -- Sources",DA,Browsing: History - General; Browsing: History - Medieval/The Middle Ages
41082,Text,2012-10-16,The Golden Bough: A Study in Comparative Religion (Vol. 1 of 2),en,"Frazer, James George, 1854-1941",Religion; Magic; Superstition; Mythology,BL,Browsing: Culture/Civilization/Society; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
41083,Text,2012-10-17,My Neighbor Raymond (Novels of Paul de Kock Volume XI),en,"Kock, Paul de, 1793-1871",French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
41084,Text,2012-10-17,The Metal Moon,en,"Starzl, Roman Frederick, 1899-1976; Smith, Everett C.",Science fiction; Jupiter (Planet) -- Fiction,PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
41085,Text,2012-10-17,The New Life (La Vita Nuova),en,"Dante Alighieri, 1265-1321; Rossetti, Dante Gabriel, 1828-1882 [Translator]",Italian literature -- Translations into English,PQ,Italy; Browsing: Culture/Civilization/Society; Browsing: Language & Communication; Browsing: Literature
41086,Text,2012-10-17,Randolph Caldecott: A Personal Memoir of His Early Art Career,en,"Blackburn, Henry, 1830-1897; Caldecott, Randolph, 1846-1886 [Illustrator]","Caldecott, Randolph, 1846-1886",NC,Browsing: Art & Photography; Browsing: Biographies
41087,Text,2012-10-17,Histoire de la Littérature Anglaise (Volume 2 de 5),fr,"Taine, Hippolyte, 1828-1893",English literature -- History and criticism,PR,France; FR Littérature; Browsing: History - British; Browsing: Literature
41088,Text,2012-10-17,"Passeggiate per l'Italia, vol. 4",it,"Gregorovius, Ferdinand, 1821-1891; Corsi, Mario, 1882-1954 [Translator]",Italy -- Description and travel,DG,IT Viaggi; Browsing: History - General; Browsing: Travel & Geography
